Year,Month,Temperature,rain,air
2001,1,17.5,60.8,1018.2
2001,2,18.1,68.9,1020.5
2001,3,19.1,162.2,1015.5
2001,4,21.9,289.5,1011.3
2001,5,25.4,316.6,1010
2001,6,28.5,391,1006.5
2001,7,29.5,185.5,1003.1
2002,1,16.1,65.2,1020.4
2002,2,17.8,58.3,1020.4
2002,3,21.1,130.7,1015.2
2002,4,23.8,29.6,1012.8
2002,5,26.6,92.8,1008.8
2002,6,28.6,154.2,1006
2002,7,29.6,314.1,1002.2
2003,1,16.1,72.9,1021.2
2003,2,17.8,20.2,1018.9
2003,3,21.1,86.2,1017.6
2003,4,23.8,132.8,1012.2
2003,5,26.6,88.8,1008.6
2003,6,28.6,201.1,1005.8
2003,7,29.6,83,1007.6
2004,1,15.4,121,1020.5
2004,2,17.8,164.7,1018.1
2004,3,17.6,182.8,1016.3
2004,4,21.9,103.9,1012.4
2004,5,25.8,261.8,1008.6
2004,6,27.2,171.6,1006.5
2004,7,29.7,194.3,1006.3
2005,1,15.5,71,1019.5
2005,2,16.2,299.8,1018.7
2005,3,17.3,268.5,1019.1
2005,4,23,72.4,1013.8
2005,5,26.2,531,1007.5
2005,6,28.2,278.9,1004.7
2005,7,29.8,293.1,1005.4
2006,1,17.7,60.8,1018.2
2006,2,17.8,68.9,1020.5
2006,3,18.7,162.2,1015.5
2006,4,23.1,289.5,1011.3
2006,5,25.5,316.6,1010
2006,6,28,391,1006.5
2006,7,30.3,185.5,1003.1
2007,1,17.3,111.4,1021.7
2007,2,18.7,70.5,1017.5
2007,3,19.7,262.5,1015.2
2007,4,21.2,198,1014
2007,5,26.4,96.6,1008.9
2007,6,28,709.9,1006
2007,7,30.4,156.9,1005.8
2008,1,16.5,85.8,1020.3
2008,2,14.1,163.7,1021.3
2008,3,19.3,127.9,1016.1
2008,4,22.5,153,1012.5
2008,5,24.9,319.1,1008.1
2008,6,27.5,361.2,1006.9
2008,7,29.6,236.4,1004.6
2009,1,15.7,36.1,1022.1
2009,2,20.2,32.8,1015.6
2009,3,18.6,192,1015.9
2009,4,21.3,120.7,1013.4
2009,5,25.3,24.7,1010.9
2009,6,28.2,276.8,1005
2009,7,30.1,140.9,1005.3
2010,1,16.9,105.3,1020.9
2010,2,17.6,232.6,1017
2010,3,20,66.5,1017.4
2010,4,20.7,112.5,1015.1
2010,5,25.5,183.9,1008.6
2010,6,26.2,419.6,1007.6
2010,7,30.3,89.1,1007.3
2011,1,13.7,71.9,1022.2
2011,2,16.9,68,1017
2011,3,16.2,119.1,1019.9
2011,4,21.7,27.4,1013.8
2011,5,24.8,222,1008.9
2011,6,29,284.6,1005.4
2011,7,29.7,264.2,1004.3
2012,1,15.9,157.4,1019.3
2012,2,16.4,268.8,1017.5
2012,3,18.8,85.4,1016.3
2012,4,23.1,289.1,1011.5
2012,5,25.9,231.2,1007.6
2012,6,27.8,625.6,1002.9
2012,7,30.6,162.8,1004.3
2013,1,16.7,93,1020.3
2013,2,18.8,34.4,1018.5
2013,3,19.9,49.1,1015.8
2013,4,21.1,253,1012.3
2013,5,26,338.4,1008.5
2013,6,29.2,203.1,1005.3
2013,7,29.5,240.5,1007
2014,1,16.8,93,1020.3
2014,2,16.5,34.4,1018.5
2014,3,18.9,49.1,1015.8
2014,4,22.5,253,1012.3
2014,5,25.2,338.4,1008.5
2014,6,28,203.1,1005.3
2014,7,30.5,240.5,1007
2015,1,16.7,20,1018.7
2015,2,17.3,90,1016.8
2015,3,18.9,182,1015.5
2015,4,22.7,87.6,1011.2
2015,5,26.1,302.8,1006.1
2015,6,30,248.3,1004.3
2015,7,16.2,316.8,1001.2
2016,1,17.1,256,1017.8
2016,2,15.5,78.9,1019.4
2016,3,17.5,285.7,1015.1
2016,4,24,184.4,1009.2
2016,5,27.1,186.7,1007.5
2016,6,29.4,429.8,1004.6
2016,7,30.3,174.6,1003.5
2017,1,18.3,21.8,1017.4
2017,2,17,123.7,1017.9
2017,3,18.2,182.7,1014
2017,4,22.5,121.5,1010.1
2017,5,25.6,135.5,1007.3
2017,6,28,649.7,1004
2017,7,30.3,206.6,1004.4
2018,1,16.9,255.8,1015.8
2018,2,15.6,163.6,1017
2018,3,20.6,37.3,1013.2
2018,4,23.5,59.6,1011
2018,5,28.2,42,1007.4
2018,6,28.5,119.8,1002.5
2018,7,30.3,190.3,1000.8
2019,1,18.5,45,1018.5
2019,2,18.8,64.1,1016
2019,3,19.8,184.2,1012.9
2019,4,24.2,115.1,1009.1
2019,5,25,335.8,1006.9
2019,6,28.5,419.5,1002.7
2019,7,30.3,439.3,1001.6
2020,1,17.9,38.6,1016.5
2020,2,18.7,29.6,1018.4
2020,3,20.8,245.5,1012.7
2020,4,20.9,87.9,1013.5
2020,5,26.9,405.8,1005.5
2020,6,30.5,117.9,1004.1
2020,7,30.9,133.5,1004
